,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats
0,18,40929,1,2,1,32.26,998.0,58.2,4
1,17,54493,2,2,2,24.7,796.0,47.3,5
2,21,34000,3,2,1,13.68,2393.0,147.8,7
3,16,139000,3,2,1,23.59,1364.0,73.0,5
4,18,29000,2,2,1,18.5,1197.0,82.85,5
5,20,85609,3,2,2,16.0,2179.0,140.0,7
6,19,59000,3,1,1,12.55,2982.0,168.7,7
7,17,65000,2,2,1,21.1,814.0,55.2,5
8,15,66000,2,2,2,17.0,1497.0,118.0,5
9,19,54684,3,2,1,15.1,2179.0,140.0,7
10,16,78000,3,1,2,12.8,1968.0,167.6,5
11,20,21000,2,2,1,18.9,1197.0,82.0,5
12,11,90000,2,2,3,13.4,1794.0,125.0,5
13,12,87628,3,2,1,17.8,1248.0,75.0,5
14,18,45000,2,2,1,13.24,1598.0,102.5,5
15,17,30788,3,1,1,17.05,1995.0,184.0,5
16,19,39524,3,1,1,19.59,1995.0,184.0,5
17,13,140000,3,2,1,13.8,1399.0,68.0,5
18,23,15409,2,1,1,22.0,1197.0,81.8,5
19,19,36502,2,2,1,17.5,1298.0,85.8,5
20,20,200000,3,2,1,23.2,1248.0,73.94,5
21,14,70000,2,2,1,18.06,1198.0,75.0,5
22,21,36701,2,2,1,24.7,796.0,47.3,5
23,13,72000,2,2,2,17.5,1896.0,157.75,5
24,15,40000,2,2,2,15.5,1799.0,132.0,5
25,9,47000,2,2,2,13.8,1299.0,70.0,5
26,10,93500,2,2,2,19.7,796.0,46.3,5
27,19,52000,3,2,1,27.3,1498.0,98.6,5
28,19,55429,3,1,2,21.66,1498.0,103.52,5
29,15,133000,2,2,2,17.0,1197.0,80.0,5
30,18,70000,3,2,2,23.59,1364.0,67.06,5
31,18,68000,3,2,1,15.11,1598.0,103.6,5
32,14,71000,2,2,2,19.81,1086.0,68.05,5
33,16,121000,3,2,1,10.5,2835.0,107.2,6
34,19,107000,3,2,1,23.4,1248.0,74.0,5
35,19,51000,2,2,1,19.1,1197.0,85.8,5
36,21,13500,2,1,1,14.84,1598.0,103.52,5
37,20,13000,2,2,1,15.29,1591.0,121.3,5
38,14,81000,3,2,1,12.8,2494.0,102.0,8
39,16,66889,3,1,1,22.48,1995.0,190.0,5
40,22,32000,3,2,1,27.39,1248.0,74.0,5
41,17,87001,3,1,1,17.11,1968.0,174.33,5
42,17,55000,3,1,2,16.55,1968.0,140.0,5
43,22,4000,2,2,1,15.41,1598.0,103.52,5
44,21,27778,3,2,1,24.52,1248.0,88.5,7
45,21,5000,2,2,1,20.73,1373.0,91.1,5
46,18,72000,2,2,1,20.73,1373.0,91.1,5
47,19,21000,3,1,1,20.0,2143.0,136.0,5
48,19,59299,3,2,1,12.99,2494.0,100.6,7
49,18,75000,3,1,1,18.88,1995.0,184.0,5
50,23,3413,2,2,1,24.7,796.0,47.3,5
51,18,62000,3,2,1,22.7,1498.0,89.84,5
52,14,105001,3,1,1,11.4,2953.0,153.86,7
53,17,89000,3,1,1,14.16,1968.0,174.3,5
54,18,21000,2,2,1,17.01,1591.0,121.3,5
55,18,50000,3,2,1,15.1,2179.0,140.0,7
56,20,70687,3,2,1,24.3,1248.0,88.5,5
57,20,104350,3,2,1,23.59,1364.0,67.04,5
58,15,150000,3,2,2,19.09,1396.0,69.0,5
59,12,81000,2,2,1,17.7,1497.0,78.0,5
60,12,89000,2,2,2,14.53,1798.0,138.1,5
61,21,35223,2,2,1,18.9,1197.0,82.0,5
62,19,48000,2,2,1,18.6,1197.0,81.83,5
63,19,60000,3,2,1,20.14,1498.0,88.8,5
64,22,7000,2,2,1,23.0,998.0,67.0,5
65,19,47572,2,2,1,18.2,1199.0,82.5,5
66,14,72727,3,2,2,15.4,2179.0,120.0,8
67,22,4708,3,2,1,21.66,1498.0,108.62,5
68,13,55000,2,2,2,18.9,998.0,67.1,5
69,17,44198,2,2,2,18.4,1198.0,86.8,5
70,19,35000,2,2,1,16.02,1373.0,93.7,7
71,17,63831,2,2,1,0.0,1086.0,62.0,5
72,21,17540,2,2,1,18.16,1196.0,86.8,5
73,21,14000,2,1,1,23.84,1199.0,84.0,5
74,11,47000,2,2,2,0.0,1086.0,63.0,5
75,14,75422,2,2,2,18.6,1199.0,79.4,5
76,15,67000,3,2,2,23.08,1461.0,63.1,5
77,17,79999,3,2,1,12.99,2494.0,100.0,8
78,21,5044,2,2,1,20.14,1197.0,81.86,5
79,20,31601,2,2,1,20.73,1373.0,91.1,5
80,18,70000,3,1,1,18.12,1995.0,190.0,5
81,20,16000,2,1,1,19.16,2487.0,175.67,5
82,20,31700,3,2,1,21.43,1364.0,87.2,5
83,18,76969,3,2,1,22.32,1582.0,126.32,5
84,19,37000,3,1,1,21.21,1498.0,103.2,5
85,18,23000,2,1,1,11.07,2496.0,179.5,5
86,18,59098,2,2,2,17.0,1197.0,80.0,5
87,14,142299,2,2,1,13.07,1368.0,88.76,5
88,15,75731,3,2,1,20.0,1399.0,68.0,5
89,21,69627,2,2,1,18.6,1197.0,81.83,5
90,15,49000,2,2,1,15.3,1596.0,99.6,5
91,19,25700,2,1,1,11.9,1595.0,120.7,5
92,16,80800,2,2,1,18.5,1197.0,82.85,5
93,17,110896,3,2,1,23.4,1248.0,74.0,5
94,13,62261,2,2,1,17.92,1086.0,62.1,5
95,21,27610,2,2,1,21.4,1197.0,83.1,5
96,15,89219,2,2,1,10.2,2354.0,180.0,5
97,22,6700,2,1,1,19.34,1198.0,75.94,5
98,15,51599,2,2,1,19.0,998.0,67.1,5
99,17,37489,3,2,1,22.7,1582.0,126.24,5
100,20,98000,3,2,1,17.5,1396.0,70.0,5
101,16,25183,2,2,1,26.0,624.0,35.0,4
102,19,52100,3,1,2,18.12,1995.0,190.0,5
103,18,60000,3,2,1,25.8,1498.0,98.6,5
104,17,51000,3,2,1,22.07,1199.0,73.9,5
105,16,70000,3,2,1,22.3,1248.0,74.0,5
106,19,95000,3,2,1,17.32,1968.0,138.13,5
107,18,66346,3,2,1,26.0,1498.0,98.6,5
108,19,69150,3,2,1,25.8,1498.0,98.6,5
109,20,31000,2,2,1,18.6,1197.0,81.83,5
110,17,49000,3,1,2,18.12,1995.0,190.0,5
111,18,63058,2,2,1,19.4,1198.0,86.8,5
112,20,22000,3,1,1,19.71,2143.0,201.15,5
113,19,73026,2,2,1,16.47,1198.0,74.0,5
114,15,21762,2,1,2,19.2,1197.0,80.0,5
115,22,29738,2,2,1,17.01,1591.0,121.3,5
116,22,16053,2,2,1,18.6,1197.0,81.83,5
117,16,61665,3,1,1,16.73,2993.0,218.0,5
118,19,51000,3,2,1,19.3,1248.0,73.9,5
119,20,34820,3,2,1,21.9,1498.0,98.6,7
120,22,12000,2,2,1,17.5,1373.0,91.1,7
121,21,32287,3,2,1,26.59,1248.0,74.0,5
122,16,121134,3,2,1,23.59,1364.0,73.0,5
123,19,74485,3,1,1,16.09,1995.0,184.0,5
124,15,63000,3,2,1,25.44,936.0,57.6,5
125,22,53190,3,1,1,18.51,1968.0,147.51,5
126,20,26900,3,1,1,12.0,2987.0,224.0,7
127,19,40000,3,1,1,19.59,1995.0,184.0,5
128,20,40587,2,2,1,18.9,1197.0,82.0,5
129,19,27000,2,2,1,18.9,1197.0,82.0,5
130,20,29108,3,2,1,23.59,1364.0,67.04,5
131,19,18000,2,2,1,19.83,1198.0,67.0,5
132,21,10500,2,2,1,20.89,1197.0,81.8,5
133,13,60000,2,2,3,19.0,998.0,66.1,5
134,15,61000,2,1,3,13.9,1799.0,130.3,5
135,21,5000,2,2,1,22.74,796.0,47.3,5
136,22,24001,3,1,1,13.6,1999.0,177.0,5
137,15,76000,3,2,1,23.0,1396.0,90.0,5
138,18,56000,2,2,1,18.88,999.0,123.24,5
139,20,30000,2,2,1,18.15,1198.0,82.0,5
140,21,44263,3,2,1,24.3,1248.0,88.5,5
141,15,97899,3,2,1,20.0,1399.0,68.0,5
142,15,157301,3,2,2,20.54,1598.0,103.6,5
143,12,135000,3,2,1,17.8,1399.0,99.6,5
144,20,35000,2,2,2,14.4,1368.0,88.8,5
145,13,106000,2,2,1,13.5,1799.0,130.0,5
146,20,121590,3,2,1,18.0,2000.0,148.0,5
147,16,64692,2,2,1,22.5,998.0,67.04,5
148,14,41000,2,2,1,20.36,1197.0,78.9,5
149,22,25143,3,1,1,22.0,1498.0,108.495,5
150,15,51000,3,2,1,20.54,1598.0,103.6,5
151,9,109000,3,2,2,13.1,1493.0,82.0,5
152,19,69062,3,2,1,22.7,1498.0,89.84,5
153,19,34386,3,1,1,16.36,2179.0,187.7,5
154,20,20185,2,2,1,21.4,1197.0,83.1,5
155,17,41585,3,2,1,24.0,1120.0,70.0,5
156,15,24000,2,2,1,21.1,814.0,55.2,5
157,20,40000,3,1,1,15.0,2143.0,204.0,5
158,16,37000,3,1,1,0.0,2987.0,165.0,5
159,19,67630,3,2,1,23.0,1498.0,98.96,5
160,20,24192,2,1,1,23.1,998.0,67.04,5
161,21,32248,3,2,1,24.3,1248.0,88.5,5
162,17,28000,3,2,1,13.0,2179.0,120.0,8
163,22,36471,2,1,1,14.8,1591.0,121.3,5
164,19,69689,2,2,1,17.3,1497.0,117.3,7
165,19,69095,3,1,1,11.3,2987.0,254.8,7
166,14,46000,2,2,1,18.5,1197.0,80.0,5
167,12,65000,2,1,3,10.13,3498.0,364.9,5
168,19,119258,3,2,1,20.64,1498.0,108.5,5
169,19,38339,3,1,1,13.0,2143.0,201.1,5
170,16,59503,2,2,1,16.78,1496.0,88.73,5
171,14,93600,3,2,3,17.0,1405.0,71.0,5
172,15,58865,2,2,1,14.3,1798.0,160.0,5
173,16,64631,2,2,1,19.7,796.0,46.3,5
174,11,124298,3,2,2,17.0,1896.0,105.0,5
175,7,50000,2,2,2,18.9,998.0,67.1,5
176,17,40001,3,2,1,21.64,1461.0,84.8,5
177,19,62659,2,2,1,19.4,1198.0,86.8,5
178,18,68138,2,2,1,20.36,1197.0,78.9,5
179,18,34000,3,1,1,15.26,2143.0,203.2,5
180,17,67000,2,2,1,15.04,1598.0,103.6,5
181,19,64141,3,2,1,24.2,1498.0,98.6,7
182,23,1000,2,2,1,24.7,796.0,47.3,5
183,17,42000,3,1,1,13.0,2143.0,201.1,5
184,13,76677,2,2,3,16.9,1497.0,100.0,5
185,17,66848,3,1,1,11.8,2967.0,246.7,5
186,11,78000,2,2,1,0.0,1086.0,62.0,5
187,14,111166,3,2,1,19.3,1248.0,73.9,5
188,11,76000,3,2,1,18.1,1493.0,110.0,5
189,16,94049,3,1,1,12.8,1968.0,167.6,5
190,18,47000,3,1,1,17.05,1995.0,184.0,5
191,10,140000,3,2,2,13.5,1405.0,115.0,5
192,19,20047,2,2,1,23.9,624.0,37.48,4
193,21,16000,3,1,1,16.77,2993.0,261.49,5
194,16,27000,2,2,1,18.5,1198.0,86.8,5
195,22,1001,2,2,1,24.7,796.0,47.3,5
196,14,89312,2,2,1,17.0,1197.0,80.0,5
197,0,65000,3,2,2,14.1,1995.0,99.6,5
198,16,93000,3,2,2,19.01,1461.0,108.45,5
199,17,48000,3,2,1,23.4,1248.0,74.0,5
200,18,64917,3,2,1,28.4,1248.0,73.75,5
201,21,19678,2,2,1,17.8,1497.0,117.3,5
202,18,12000,3,1,1,14.74,2993.0,270.9,5
203,18,41309,3,1,1,18.88,1995.0,184.0,5
204,22,25038,3,1,1,21.76,1995.0,190.0,5
205,20,68673,3,2,1,25.44,936.0,56.3,5
206,22,26343,3,1,1,19.27,2143.0,167.62,5
207,9,81245,2,2,4,16.8,796.0,34.2,8
208,16,62100,3,2,1,23.08,1461.0,63.1,5
209,17,104000,2,2,1,15.04,1598.0,103.6,5
210,18,114831,3,1,1,17.68,1968.0,174.33,5
211,14,46000,2,2,1,14.6,1368.0,88.7,5
212,18,80000,3,2,1,22.32,1582.0,126.32,5
213,20,9201,2,2,1,17.19,1197.0,81.86,5
214,17,55311,2,2,1,19.4,1198.0,86.8,5
215,19,58217,3,2,1,24.5,1498.0,98.6,7
216,17,70655,3,2,1,13.5,2477.0,175.56,7
217,19,46000,2,2,1,20.36,1197.0,78.9,5
218,18,125000,3,2,1,21.02,1248.0,88.8,5
219,18,59000,3,2,1,19.01,1461.0,108.45,5
220,17,66000,3,1,2,22.0,1582.0,126.2,5
221,13,82242,3,2,1,21.1,1248.0,73.9,5
222,16,107281,3,2,1,12.8,2494.0,102.0,8
223,19,196000,3,2,2,12.2,1948.0,68.0,10
224,19,75000,3,1,1,15.17,1968.0,181.0,5
225,15,11791,2,2,1,16.2,1172.0,68.0,5
226,17,46000,2,2,1,16.3,1797.0,147.5,5
227,15,81000,3,2,2,22.07,1199.0,73.9,5
228,19,46950,2,2,1,17.71,1197.0,78.8,5
229,21,18000,2,2,1,18.9,1197.0,82.0,5
230,20,95942,3,2,1,15.4,2179.0,120.0,7
231,20,42925,2,2,1,20.73,1373.0,91.1,5
232,18,33750,2,2,1,15.6,1196.0,70.02,5
233,20,14000,2,1,1,13.6,1598.0,181.0,4
234,19,29000,3,2,1,19.67,1582.0,126.2,5
235,19,67365,3,2,1,15.1,2179.0,140.0,7
236,18,67791,3,2,1,15.1,2179.0,140.0,7
237,20,20000,3,2,1,16.55,2498.0,105.0,6
238,15,90198,3,2,2,19.3,1248.0,73.9,5
239,14,77000,2,2,1,19.81,1086.0,68.05,5
240,21,42520,2,2,1,20.73,1373.0,91.1,5
241,13,87829,4,2,1,17.3,1061.0,57.5,5
242,21,21701,2,1,1,21.4,1197.0,83.1,5
243,12,86033,2,2,1,19.7,796.0,46.3,5
244,19,25000,2,2,1,19.1,1197.0,81.86,5
245,15,45000,3,2,1,21.43,1364.0,87.2,5
246,22,22987,2,2,1,16.47,1198.0,73.9,5
247,13,48725,2,2,1,19.81,1086.0,68.05,5
248,17,42500,2,2,1,18.9,1197.0,81.86,5
249,18,35000,2,1,1,17.1,1591.0,121.4,5
250,18,56000,3,2,2,17.8,1399.0,68.0,5
251,18,10000,3,2,1,13.49,2179.0,138.03,5
252,14,15669,2,2,1,20.92,998.0,67.1,5
253,20,55331,3,1,1,17.68,1968.0,174.33,5
254,19,44535,3,2,1,20.46,1461.0,83.8,5
255,16,74000,3,2,1,16.55,2498.0,105.0,7
256,18,77901,3,2,1,12.99,2494.0,100.6,7
257,14,58186,2,2,1,17.5,1298.0,85.8,5
258,14,30000,2,2,1,14.2,1598.0,102.0,5
259,16,90000,3,2,1,23.59,1364.0,73.0,5
260,22,14730,2,1,1,13.5,1999.0,246.74,5
261,17,40000,2,2,2,19.7,796.0,46.3,5
262,11,88107,2,2,2,15.26,1150.0,74.9,5
263,16,53226,3,2,2,20.64,1498.0,108.5,5
264,17,76000,3,2,1,25.2,1248.0,74.0,5
265,12,200000,3,2,2,12.8,2494.0,102.0,8
266,17,73000,3,1,1,14.21,2143.0,203.0,5
267,13,77200,2,2,2,13.2,1495.0,94.0,5
268,16,67000,3,1,2,15.2,1968.0,140.8,5
269,9,150000,3,2,2,14.8,2499.0,80.0,10
270,13,145278,3,2,2,11.68,2498.0,112.0,8
271,19,62083,3,2,1,21.19,1396.0,88.76,5
272,14,61696,2,2,1,13.5,1799.0,130.0,5
273,21,28000,3,2,1,23.0,1498.0,98.96,5
274,17,50142,3,1,1,14.84,2143.0,170.0,5
275,18,45000,2,1,1,13.7,1798.0,157.75,5
276,18,97513,3,2,1,21.14,1498.0,103.52,5
277,15,55000,2,1,2,12.3,1796.0,185.0,5
278,8,82000,2,2,2,16.1,796.0,37.0,4
279,17,71501,3,2,1,22.9,1248.0,74.0,5
280,21,23000,3,2,1,21.9,1498.0,98.6,7
281,19,66095,3,1,1,17.68,1968.0,174.33,5
282,18,49500,3,2,1,11.5,2982.0,171.0,7
283,13,90000,2,2,1,13.4,2362.0,164.7,5
284,21,25384,2,2,1,20.89,1197.0,81.8,5
285,20,27529,2,2,2,17.01,1591.0,121.3,5
286,16,69297,2,2,1,16.8,1497.0,116.3,5
287,13,66000,2,2,1,17.0,1497.0,118.0,5
288,16,20000,3,2,1,21.03,1461.0,65.0,5
289,19,67000,3,1,1,11.3,2987.0,254.8,7
290,19,36933,2,2,1,21.1,814.0,55.2,5
291,11,194000,3,2,1,12.99,2494.0,100.6,8
292,17,42200,3,2,1,20.77,1248.0,88.76,7
293,19,53093,3,1,2,12.07,2967.0,241.4,7
294,16,88000,2,2,3,17.0,1497.0,118.0,5
295,21,42954,2,2,1,24.07,998.0,67.1,5
296,19,106000,3,2,1,25.0,1396.0,69.0,5
297,19,41700,3,1,1,18.12,1995.0,190.0,5
298,22,34464,3,1,1,19.27,2143.0,170.0,5
299,14,15000,2,2,1,17.8,1199.0,76.8,5
300,14,70000,2,2,2,19.0,998.0,67.1,5
301,21,119256,3,2,1,16.0,2179.0,140.0,7
302,15,50036,2,2,1,17.0,1497.0,118.0,5
303,17,58000,3,2,1,12.99,2494.0,100.6,7
304,15,75000,2,2,1,18.5,1197.0,80.0,5
305,17,53313,2,2,1,20.92,998.0,67.1,5
306,19,73000,3,2,1,12.99,2494.0,100.6,8
307,17,83989,3,2,1,23.08,1461.0,63.1,5
308,19,86247,3,2,1,19.67,1582.0,126.2,5
309,20,24000,3,2,1,12.99,2494.0,100.6,8
310,14,58000,3,1,1,14.21,2143.0,203.0,5
311,19,33000,2,2,1,18.6,1197.0,81.83,5
312,9,100000,2,1,1,11.1,2354.0,142.0,5
313,21,65896,3,2,1,13.68,2393.0,147.8,7
314,20,120000,3,2,1,22.54,1396.0,88.73,5
315,17,26000,3,2,1,20.8,1461.0,64.1,5
316,16,62300,2,2,2,15.1,1196.0,73.0,5
317,16,77801,2,2,1,14.28,1798.0,138.03,5
318,19,42000,2,1,1,14.28,1798.0,138.03,5
319,17,35000,2,1,2,15.5,1595.0,120.7,5
320,20,30134,3,2,1,22.54,1396.0,88.73,5
321,16,79038,2,2,1,12.8,2354.0,177.6,5
322,13,80000,2,1,2,11.7,2354.0,177.6,5
323,16,75000,3,2,1,15.96,2523.0,62.1,7
324,14,80000,3,2,1,21.1,1248.0,73.9,5
325,18,84419,2,1,1,13.7,1798.0,157.75,5
326,17,70200,2,2,1,18.0,1198.0,86.7,5
327,17,98000,2,2,2,15.04,1598.0,103.6,5
328,20,131503,3,2,1,23.2,1248.0,73.94,5
329,15,54652,2,2,1,17.0,1497.0,118.0,5
330,14,92000,2,2,2,14.0,1595.0,102.0,5
331,14,44287,2,2,1,15.6,1196.0,70.0,5
332,19,205000,3,2,1,12.99,2494.0,100.6,7
333,19,48000,2,2,1,18.6,1197.0,81.86,5
334,20,18000,3,2,1,25.32,1198.0,77.0,6
335,12,31200,2,1,2,10.2,5998.0,616.0,5
336,13,72000,2,2,1,17.0,1497.0,118.0,5
337,13,85000,2,2,1,18.5,1197.0,80.0,5
338,14,27000,2,2,1,17.0,1497.0,118.0,5
339,16,126000,3,2,1,14.24,2755.0,174.5,7
340,21,50000,3,2,1,17.88,1405.0,48.21,5
341,17,58811,2,2,2,18.0,1198.0,86.7,5
342,17,52196,3,2,1,22.07,1199.0,73.9,5
343,21,45105,2,2,1,19.69,1198.0,67.04,5
344,19,25160,2,2,2,18.9,1197.0,82.0,5
345,21,18000,2,2,1,20.3,1199.0,84.0,5
346,11,74000,2,2,1,11.9,2354.0,144.0,5
347,13,67700,3,2,1,14.0,2498.0,112.0,7
348,19,61062,3,1,1,12.39,2179.0,147.51,5
349,20,105000,3,2,1,12.99,2494.0,100.6,7
350,17,155550,3,2,1,25.0,1396.0,69.01,5
351,20,66000,3,2,1,24.3,1248.0,88.5,5
352,16,93884,2,2,2,17.0,1497.0,118.0,5
353,13,200000,3,2,1,20.4,1248.0,91.7,5
354,20,57200,2,2,1,23.84,1199.0,84.0,5
355,17,93568,3,2,1,22.07,1199.0,73.9,5
356,18,54000,2,2,1,20.51,998.0,67.04,5
357,20,40571,3,1,1,17.01,1582.0,126.2,5
358,19,59000,3,1,1,18.25,1968.0,187.74,5
359,21,17273,3,1,1,20.68,1995.0,190.0,5
360,15,100077,3,1,2,11.4,2953.0,153.86,7
361,15,39934,2,1,1,19.2,1197.0,80.0,5
362,20,46000,3,2,1,24.3,1248.0,88.5,5
363,20,30842,2,2,1,17.0,1497.0,118.0,5
364,9,65000,2,1,2,11.7,1796.0,178.0,5
365,20,70000,3,2,1,11.1,2400.0,200.0,7
366,15,150152,3,2,2,11.5,2982.0,171.0,7
367,13,67038,2,1,1,9.1,2349.0,63.0,5
368,15,43985,1,2,1,11.88,1086.0,62.1,5
369,18,58598,3,1,1,11.2,2993.0,241.0,4
370,20,100000,3,2,1,25.0,1396.0,69.01,5
371,20,35000,3,1,1,14.16,1968.0,174.3,5
372,12,84500,2,2,1,20.36,1197.0,78.9,5
373,22,18006,2,2,1,21.4,1197.0,83.1,5
374,17,99000,3,2,1,28.4,1248.0,74.0,5
375,18,51200,2,2,1,15.1,1196.0,73.0,5
376,18,130000,3,1,1,11.0,2982.0,170.3,7
377,21,25000,3,1,1,16.38,1995.0,182.46,5
378,21,32352,2,2,1,21.4,1197.0,83.1,5
379,15,20000,2,2,1,20.36,1197.0,78.9,5
380,17,46000,3,1,2,16.55,1968.0,147.51,5
381,22,12500,2,1,1,22.0,1197.0,81.8,5
382,15,53138,3,2,3,12.8,2494.0,102.0,8
383,17,170000,3,2,2,23.4,1248.0,74.0,5
384,16,38583,3,2,1,22.9,1248.0,74.0,5
385,20,26000,2,1,1,22.5,998.0,67.0,5
386,21,22865,2,2,1,15.29,1591.0,121.3,5
387,17,45000,3,2,1,17.5,1896.0,106.0,5
388,21,62889,2,2,1,20.4,1197.0,81.8,5
389,17,153000,2,2,1,16.8,796.0,34.2,5
390,20,67000,3,2,1,28.4,1248.0,74.0,5
391,18,39000,2,1,1,15.5,1198.0,86.7,5
392,10,164000,2,2,2,13.4,1794.0,125.0,5
393,22,57178,3,2,1,19.3,1248.0,73.9,5
394,17,40000,3,1,1,17.68,1968.0,174.33,5
395,11,40000,2,2,1,18.0,995.0,62.0,5
396,11,89564,3,2,3,18.1,1493.0,110.0,5
397,16,66727,2,2,1,16.02,1373.0,93.7,7
398,17,75000,3,1,2,15.73,1968.0,174.33,5
399,21,31056,3,1,1,14.81,1998.0,163.7,5
400,15,61000,2,2,1,15.04,1598.0,103.6,5
401,20,34782,2,1,1,16.9,1197.0,82.0,5
402,16,31736,2,2,1,20.36,1197.0,78.9,5
403,18,75000,3,2,1,19.64,1461.0,108.5,5
404,18,15000,3,2,1,16.55,2498.0,105.0,6
405,20,38503,3,2,1,22.7,1498.0,89.84,5
406,21,45353,3,2,1,21.9,1498.0,98.6,7
407,19,30000,3,1,1,12.7,2179.0,187.7,5
408,15,69470,2,2,2,17.6,1496.0,88.73,5
409,12,63288,2,1,1,9.1,2349.0,180.0,5
410,21,25087,2,2,1,16.47,1198.0,74.0,5
411,19,134000,3,2,1,12.8,2494.0,102.0,7
412,19,54955,3,1,3,14.81,1998.0,163.7,5
